"Idade","Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Subordinado","Satisfação com o ambiente no emprego atual","Genero","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Estado civil","Renda","Bonus de performance","Quantidade de empresas que trabalho","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","ADDED_COLUMN_1","$S-Contratar","$SP-Contratar"
"42","Misto","300","Engenharia","2","Superior completo","Ciências das natureza","2031","1","M","56","3","5","Gerente","3","Casado","18880","17312","5","Não","11","3","1","0","24","2","2","22","6","4","14",,"Não","0.916812"
"41","Misto","582","Engenharia","28","Superior incompleto - cursando","Ciências das natureza","2034","1","F","60","2","4","Supervisor","2","Casado","13570","5640","0","Não","23","4","3","1","21","3","3","20","7","0","10",,"Não","0.999148"
"34","Escritório","704","Vendas","28","Superior completo","Marketing","2035","4","F","95","2","2","Vendedo senior","3","Casado","6712","8978","1","Não","21","4","4","2","8","2","3","8","7","1","7",,"Não","0.621971"
"36","Misto","301","Vendas","15","Superior incompleto - cursando","Marketing","2036","4","M","88","1","2","Vendedo senior","4","Divorciado","5406","10436","1","Não","24","4","1","1","15","4","2","15","12","11","11",,"Não","0.993526"
"41","Misto","930","Vendas","3","Superior completo","Ciências das natureza","2037","3","M","57","2","2","Vendedo senior","2","Divorciado","8938","12227","2","Não","11","3","3","1","14","5","3","5","4","0","4",,"Não","0.999709"
"32","Misto","529","Engenharia","2","Superior completo","Faculdade Técnica","2038","4","M","78","3","1","Engenheiro","1","Solteiro","2439","11288","1","Não","14","3","4","0","4","4","3","4","2","1","2",,"Não","0.997968"
"35","Misto","1146","RH","26","Superior incompleto - cursando","Ciências das natureza","2040","3","F","31","3","3","Assistente","4","Solteiro","8837","16642","1","Sim","16","3","3","0","9","2","3","9","0","1","7",,"Não","0.99403"
"38","Misto","345","Vendas","10","Superior incompleto","Ciências das natureza","2041","1","F","100","3","2","Vendedo senior","4","Casado","5343","5982","1","Não","11","3","3","1","10","1","3","10","7","1","9",,"Não","0.6918"
"36","Misto","1120","Vendas","11","Superior incompleto - cursando","Marketing","2045","2","F","100","2","2","Vendedo senior","4","Casado","6652","14369","4","Não","13","3","1","1","8","2","2","6","3","0","0",,"Não","0.88977"
"45","Misto","374","Vendas","20","Superior completo","Ciências das natureza","2046","4","F","50","3","2","Vendedo senior","3","Solteiro","4850","23333","8","Não","15","3","3","0","8","3","3","5","3","0","1",,"Não","0.940013"
"40","Cliente","1322","Engenharia","2","Superior incompleto - cursando","Ciências das natureza","2048","3","M","52","2","1","Engenheiro","3","Solteiro","2809","2725","2","Não","14","3","4","0","8","2","3","2","2","2","2",,"Não","0.951235"
"35","Misto","1199","Engenharia","18","Superior incompleto - cursando","Ciências das natureza","2049","3","M","80","3","2","Analista","3","Casado","5689","24594","1","Sim","14","3","4","2","10","2","4","10","2","0","2",,"Não","0.999995"
"40","Misto","1194","Engenharia","2","Superior incompleto - cursando","Medicina","2051","3","F","98","3","1","Engenheiro","3","Casado","2001","12549","2","Não","14","3","2","3","20","2","3","5","3","0","2",,"Não","1.00"
"35","Misto","287","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","2052","3","F","62","1","1","Engenheiro","4","Casado","2977","8952","1","Não","12","3","4","1","4","5","3","4","3","1","1",,"Não","0.99999"
"29","Misto","1378","Engenharia","13","Superior incompleto","Outros","2053","4","M","46","2","2","Tecnico","2","Casado","4025","23679","4","Sim","13","3","1","1","10","2","3","4","3","0","3",,"Sim","0.946074"
"29","Misto","468","Engenharia","28","Superior incompleto - cursando","Medicina","2054","4","F","73","2","1","Engenheiro","1","Solteiro","3785","8489","1","Não","14","3","2","0","5","3","1","5","4","0","4",,"Sim","0.999973"
"39","Escritório","722","Vendas","24","Médio completo","Marketing","2056","2","F","60","2","4","Vendedo senior","4","Casado","12031","8828","0","Não","11","3","1","1","21","2","2","20","9","9","6",,"Sim","0.999978"
"31","Misto","325","Engenharia","5","Superior completo","Medicina","2057","2","M","74","3","2","Supervisor","1","Solteiro","9936","3787","0","Não","19","3","2","0","10","2","3","9","4","1","7",,"Não","0.722369"
"26","Cliente","1167","Vendas","5","Superior completo","Outros","2060","4","F","30","2","1","Vendedor junior","3","Solteiro","2966","21378","0","Não","18","3","4","0","5","2","3","4","2","0","0",,"Sim","0.997472"
"36","Misto","884","Engenharia","23","Superior incompleto","Medicina","2061","3","M","41","4","2","Tecnico","4","Casado","2571","12290","4","Não","17","3","3","1","17","3","3","5","2","0","3",,"Não","0.997332"
"39","Misto","613","Engenharia","6","Médio completo","Medicina","2062","4","M","42","2","3","Analista","1","Casado","9991","21457","4","Não","15","3","1","1","9","5","3","7","7","1","7",,"Não","0.999925"
"27","Cliente","155","Engenharia","4","Superior completo","Ciências das natureza","2064","2","M","87","4","2","Supervisor","2","Casado","6142","5174","1","Sim","20","4","2","1","6","0","3","6","2","0","3",,"Não","0.951305"
"49","Misto","1023","Vendas","2","Superior completo","Medicina","2065","4","M","63","2","2","Vendedo senior","2","Casado","5390","13243","2","Não","14","3","4","0","17","3","2","9","6","0","8",,"Não","0.999603"
"34",,"628","Engenharia","8","Superior completo","Medicina","2068","2","M","82","4","2","Tecnico","3","Casado","4404","10228","2","Não","12","3","1","0","6","3","4","4","3","1","2",,"Não","0.846208"
"41","Misto","1102","Vendas","1","Superior incompleto","Ciências das natureza","1","2","F","94","3","2","Vendedo senior","4","Solteiro","5993","19479","8","Sim","11","3","1","0","8","0","1","6","4","0","5",,"Sim","0.853885"
"37","Misto","1373","Engenharia","2","Superior incompleto","Outros","4","4","M","92","2","1","Tecnico","3","Solteiro","2090","2396","6","Sim","15","3","2","0","7","3","3","0","0","0","0",,"Não","0.99003"
"28","Misto","103","Engenharia","24","Superior completo","Ciências das natureza","19","3","M","50","2","1","Tecnico","3","Solteiro","2028","12947","5","Sim","14","3","2","0","6","4","3","4","2","0","3",,"Sim","0.914765"
"36","Misto","1218","Vendas","9","Superior incompleto - cursando","Ciências das natureza","27","3","M","82","2","1","Vendedor junior","1","Solteiro","3407","6986","7","Não","23","4","2","0","10","4","3","5","3","0","3",,"Não","0.999976"
"34","Cliente","699","Engenharia","6","Médio completo","Medicina","31","2","M","83","3","1","Engenheiro","1","Solteiro","2960","17102","2","Não","11","3","3","0","8","2","3","4","2","1","3",,"Não","0.539486"
"32","Misto","1125","Engenharia","16","Médio completo","Ciências das natureza","33","2","F","72","1","1","Engenheiro","1","Solteiro","3919","4681","1","Sim","22","4","2","0","10","5","3","10","2","6","7",,"Sim","0.998279"
"39","Misto","895","Vendas","5","Superior completo","Faculdade Técnica","42","4","M","56","3","2","Vendedor junior","4","Casado","2086","3335","3","Não","14","3","3","1","19","6","4","1","0","0","0",,"Não","1.00"
"24","Misto","813","Engenharia","1","Superior completo","Medicina","45","2","M","61","3","1","Engenheiro","4","Casado","2293","3020","2","Sim","16","3","1","1","6","2","2","2","0","2","0",,"Não","0.974566"
"50","Misto","869","Vendas","3","Superior incompleto","Marketing","47","1","M","86","2","1","Vendedor junior","3","Casado","2683","3810","1","Sim","14","3","3","0","3","2","3","3","2","0","2",,"Sim","0.873549"
"26","Misto","1357","Engenharia","25","Superior completo","Ciências das natureza","55","1","M","48","1","1","Tecnico","3","Solteiro","2293","10558","1","Não","12","3","3","0","1","2","2","1","0","0","1",,"Sim","0.764064"
"41","Misto","1360","Engenharia","12","Superior completo","Faculdade Técnica","58","2","F","49","3","5","Diretor","3","Casado","19545","16280","1","Não","12","3","4","0","23","0","3","22","15","15","8",,"Não","0.963204"
"48","Misto","626","Engenharia","1","Superior incompleto","Ciências das natureza","64","1","M","98","2","3","Tecnico","3","Solteiro","5381","19294","9","Sim","13","3","4","0","23","2","3","1","0","0","0",,"Não","0.579727"
"28","Misto","1434","Engenharia","5","Superior incompleto - cursando","Faculdade Técnica","65","3","M","50","3","1","Tecnico","3","Solteiro","3441","11179","1","Sim","13","3","3","0","2","3","2","2","2","2","2",,"Não","0.684199"
"36","Misto","318","Engenharia","9","Superior completo","Medicina","90","4","M","79","2","1","Engenheiro","3","Casado","3388","21777","0","Sim","17","3","1","1","2","0","2","1","0","0","0",,"Não","0.946436"
"46","Misto","669","Vendas","9","Superior incompleto","Medicina","118","3","M","64","2","3","Vendedo senior","4","Solteiro","9619","13596","1","Não","16","3","4","0","9","3","3","9","8","4","7",,"Não","0.999955"
"37","Cliente","807","RH","6","Superior incompleto - cursando","Ciências humanas","133","3","M","63","3","1","Assistente","1","Divorciado","2073","23648","4","Sim","22","4","4","0","7","3","3","3","2","0","2",,"Não","0.982873"
"20","Misto","871","Engenharia","6","Superior completo","Ciências das natureza","137","4","F","66","2","1","Tecnico","4","Solteiro","2926","19783","1","Sim","18","3","2","0","1","5","3","1","0","1","0",,"Não","0.986247"
"25","Cliente","240","Vendas","5","Superior completo","Marketing","142","3","M","46","2","2","Vendedo senior","3","Solteiro","5744","26959","1","Sim","11","3","4","0","6","1","3","6","4","0","3",,"Não","0.869345"
"34","Misto","658","Engenharia","7","Superior completo","Ciências das natureza","147","1","M","66","1","2","Tecnico","3","Solteiro","6074","22887","1","Sim","24","4","4","0","9","3","3","9","7","0","6",,"Não","0.953835"
"56","Misto","441","Engenharia","14","Superior incompleto - cursando","Ciências das natureza","161","2","F","72","3","1","Engenheiro","2","Casado","4963","4510","9","Sim","18","3","1","3","7","2","3","5","4","4","3",,"Não","0.999788"
"31","Misto","249","Vendas","6","Superior incompleto - cursando","Ciências das natureza","163","2","M","76","1","2","Vendedo senior","3","Casado","6172","20739","4","Sim","18","3","2","0","12","3","2","7","7","7","7",,"Sim","0.999364"
"58","Misto","147","Engenharia","23","Superior incompleto - cursando","Medicina","165","4","F","94","3","3","Analista","4","Casado","10312","3465","1","Não","12","3","4","1","40","3","2","40","10","15","6",,"Não","0.986575"
"19","Misto","528","Vendas","22","Médio completo","Marketing","167","4","M","50","3","1","Vendedor junior","3","Solteiro","1675","26820","1","Sim","19","3","4","0","0","2","2","0","0","0","0",,"Sim","0.999147"
"31","Cliente","542","Vendas","20","Superior completo","Ciências das natureza","175","2","F","71","1","2","Vendedo senior","3","Casado","4559","24788","3","Sim","11","3","3","1","4","2","3","2","2","2","2",,"Sim","0.849509"
"51","Misto","1150","Engenharia","8","Superior incompleto - cursando","Ciências das natureza","179","1","M","53","1","3","Supervisor","4","Solteiro","10650","25150","2","Não","15","3","4","0","18","2","3","4","2","0","3",,"Não","1.00"
"32","Cliente","1033","Engenharia","9","Superior completo","Medicina","190","1","F","41","3","1","Tecnico","1","Solteiro","4200","10224","7","Não","22","4","1","0","10","2","4","5","4","0","4",,"Não","0.988647"
"19","Misto","602","Vendas","1","Médio completo","Faculdade Técnica","235","3","F","100","1","1","Vendedor junior","1","Solteiro","2325","20989","0","Não","21","4","1","0","1","5","4","0","0","0","0",,"Não","0.926598"
"19","Misto","303","Engenharia","2","Superior completo","Ciências das natureza","243","2","M","47","2","1","Tecnico","4","Solteiro","1102","9241","1","Não","22","4","3","0","1","3","2","1","0","1","0",,"Não","0.998836"
"41","Misto","1356","Vendas","20","Superior incompleto","Marketing","248","2","F","70","3","1","Vendedor junior","2","Solteiro","3140","21728","1","Sim","22","4","4","0","4","5","2","4","3","0","2",,"Sim","0.85374"
"35","Misto","556","Engenharia","23","Superior incompleto","Ciências das natureza","261","2","M","50","2","2","Supervisor","3","Casado","5916","15497","3","Sim","13","3","1","0","8","1","3","1","0","0","1",,"Sim","0.966497"
"38","Misto","1180","Engenharia","29","Médio completo","Medicina","282","2","M","70","3","2","Analista","1","Casado","6673","11354","7","Sim","19","3","2","0","17","2","3","1","0","0","0",,"Não","0.941143"
"29","Misto","121","Vendas","27","Superior completo","Marketing","283","2","F","35","3","3","Vendedo senior","4","Casado","7639","24525","1","Não","22","4","4","3","10","3","2","10","4","1","9",,"Não","0.999792"
"32","Misto","1045","Vendas","4","Superior incompleto - cursando","Medicina","291","4","M","32","1","3","Vendedo senior","4","Casado","10400","25812","1","Não","11","3","3","0","14","2","2","14","8","9","8",,"Não","0.801208"
"30","Cliente","1005","Engenharia","3","Superior completo","Faculdade Técnica","297","4","F","88","3","1","Engenheiro","1","Solteiro","2657","8556","5","Sim","11","3","3","0","8","5","3","5","2","0","4",,"Não","0.907344"
"30","Misto","334","Vendas","26","Superior incompleto - cursando","Marketing","299","3","F","52","2","2","Vendedo senior","1","Solteiro","6696","22967","5","Não","15","3","3","0","9","5","2","6","3","0","1",,"Sim","0.787565"
"29","Misto","992","Engenharia","1","Superior completo","Faculdade Técnica","300","3","M","85","3","1","Engenheiro","3","Solteiro","2058","19757","0","Não","14","3","4","0","7","1","2","6","2","1","5",,"Não","0.999999"
"29","Misto","896","Engenharia","18","Médio completo","Medicina","315","3","M","86","2","1","Engenheiro","4","Solteiro","2389","14961","1","Sim","13","3","3","0","4","3","2","4","3","0","1",,"Não","0.847355"
"33","Misto","813","Engenharia","14","Superior completo","Medicina","325","3","M","58","3","1","Tecnico","4","Casado","2436","22149","5","Sim","13","3","3","1","8","2","1","5","4","0","4",,"Sim","0.809211"
"33","Misto","465","Engenharia","2","Superior incompleto","Ciências das natureza","328","1","F","39","3","1","Tecnico","1","Casado","2707","21509","7","Não","20","4","1","0","13","3","4","9","7","1","7",,"Não","0.997817"
"32","Cliente","515","Engenharia","1","Superior completo","Ciências das natureza","331","4","M","62","2","1","Tecnico","3","Solteiro","3730","9571","0","Sim","14","3","4","0","4","2","1","3","2","1","2",,"Não","0.996107"
"37","Cliente","504","Engenharia","10","Superior completo","Medicina","342","1","M","61","3","3","Supervisor","3","Divorciado","10048","22573","6","Não","11","3","2","2","17","5","3","1","0","0","0",,"Não","0.994154"
"31","Misto","307","Engenharia","29","Superior incompleto","Medicina","355","3","M","71","2","1","Tecnico","2","Solteiro","3479","11652","0","Não","11","3","2","0","6","2","4","5","4","1","4",,"Não","0.711137"
"28","Escritório","529","Engenharia","2","Superior incompleto - cursando","Ciências das natureza","364","1","M","79","3","1","Tecnico","3","Solteiro","3485","14935","2","Não","11","3","3","0","5","5","1","0","0","0","0",,"Não","0.989678"
"47","Cliente","666","Engenharia","29","Superior incompleto - cursando","Ciências das natureza","376","1","M","88","3","3","Gerente","2","Casado","11849","10268","1","Sim","12","3","4","1","10","2","2","10","7","9","9",,"Não","0.814479"
"44","Misto","920","Engenharia","24","Superior completo","Ciências das natureza","392","4","M","43","3","1","Tecnico","3","Divorciado","3161","19920","3","Sim","22","4","4","1","19","0","1","1","0","0","0",,"Sim","0.716118"
