Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,_id,_rev,row
40,43,Vila Mariana,-23.5895,-46.6346,32,22565,59,27,33,NORMAL,39,2019-3-24,47,0046ad45327f48c06c1301e15415e8a0,1-9e4ecb2c60c5647b3df5d3b80887f310,14124
27,43,Vila Mariana,-23.5895,-46.6346,16,21822,21,66,11,NORMAL,29,2019-2-15,56,0046ad45327f48c06c1301e1545a089c,1-79781b9e770514b6fba4a4841e38ecc0,14085
19,29,Vila Mariana,-23.5895,-46.6346,10,22462,65,34,43,NORMAL,15,2019-2-18,32,0046ad45327f48c06c1301e1545a5b7e,1-68d537febcd81646ccc052ba49ce2057,14088
22,26,Vila Mariana,-23.5895,-46.6346,21,21130,58,86,27,REABASTECER,31,2019-8-19,3,0046ad45327f48c06c1301e154714496,1-78a8d067ad986ebb933b5e4090a94b0d,14269
43,20,Vila Mariana,-23.5895,-46.6346,43,21584,23,86,1,NORMAL,43,2019-7-23,49,0046ad45327f48c06c1301e154a8f909,1-e75c48cbfc3968ad4644d14cb8130a57,14243
17,12,Vila Mariana,-23.5895,-46.6346,14,23367,52,8,29,NORMAL,19,2019-12-11,50,0046ad45327f48c06c1301e154b9a35c,1-792cdfebf1765e6bd04dfa61e69820b4,14381
43,25,Vila Mariana,-23.5895,-46.6346,24,23088,41,3,25,REABASTECER,43,2019-9-14,36,0046ad45327f48c06c1301e154d149b3,1-8935369759f026713ad892ff0bcdb132,14294
18,22,Brooklin,-23.6263,-46.6878,37,29062,39,33,43,NORMAL,43,2018-3-18,41,0046ad45327f48c06c1301e154f5d92d,1-041ead1123881a81fc91f257858e1170,14478
43,40,Brooklin,-23.6263,-46.6878,39,29945,56,69,2,REABASTECER,43,2018-1-12,38,0046ad45327f48c06c1301e154fed92c,1-7342748092eb4fadacb1e0cd8a494d29,14412
6,31,Pinheiros,-23.5664,-46.703,35,76212,60,86,43,NORMAL,23,2019-1-26,65,004b923d5e699202a60880ffea5a6576,1-9dba431d9f22008c2580bb7251c35092,9026
37,8,Tatuapé,-23.5402,-46.5765,17,67835,48,53,43,NORMAL,31,2018-1-13,49,00516ac41d3a87397b6181d63eb21d4a,1-74200dc4eb31ff9bd3c534e26027bb35,5773
23,21,Tatuapé,-23.5402,-46.5765,33,69858,23,48,14,REABASTECER,25,2018-12-12,5,00516ac41d3a87397b6181d63ede569a,1-7d4048abdc128df7b2b5863d6d743311,6102
39,11,São Joaquim,-23.5618,-46.6389,5,36128,48,86,6,NORMAL,43,2018-12-10,49,0058fb8da4f6b33f2d3d02ed55145f21,1-5e4d68a8211c8eedcad282e0c79fe12b,12580
23,43,São Joaquim,-23.5618,-46.6389,16,35569,13,26,31,NORMAL,34,2018-12-24,23,0058fb8da4f6b33f2d3d02ed55171df3,1-d34137c545eb3dd9abe5461895f79ff3,12594
11,20,São Joaquim,-23.5618,-46.6389,29,36519,20,61,20,NORMAL,16,2018-11-25,17,005a80920461df5b955afafdcb2574c9,1-af707829b0e7a935a4c51581c93c6c20,12565
36,12,Barra Funda,-23.5542,-46.6707,7,147557,65,18,26,REABASTECER,35,2019-5-23,8,005f4c06aac7de3c9bb25defa99c26ca,1-fc6f0cb8cbd6912a2a3f21a8c3b45943,5543
35,29,Barra Funda,-23.5542,-46.6707,29,150357,65,4,19,NORMAL,36,2019-6-14,52,005f4c06aac7de3c9bb25defa9aa3b2a,1-82d937231c7e23eaf791320d97d7adef,5564
10,21,Barra Funda,-23.5542,-46.6707,7,148064,21,22,35,NORMAL,43,2019-7-1,65,005f4c06aac7de3c9bb25defa9c01aeb,1-7f048575aeff92cf1b781837b88666ae,5581
10,27,Eucaliptos,-23.61,-46.6686,11,22780,28,43,43,NORMAL,40,2018-5-28,60,007e2167b572b70d40f9a1e4254a6f0d,1-ad6c8b8f6bc9979a201fa9319ae078a6,15988
43,19,Eucaliptos,-23.61,-46.6686,34,25187,11,18,43,NORMAL,14,2018-9-28,59,0091156c5b3293f1d933edfb31b4cb49,1-92fa5371ba6c9fc8f71c42ed4cd812a4,16108
24,14,Luz,-23.5365,-46.6332,24,125723,8,57,25,NORMAL,43,2018-9-16,3,00a171a766834dd5f6ef8fd6e9db9969,1-0681210cad83a5ef414bebca6ef1f43d,11056
24,30,Fradique Coutinho,-23.5661,-46.6841,10,34969,7,28,25,REABASTECER,17,2018-4-13,14,00c30dafddce68ab58cc871e06c3d8f3,1-183312365522033a8222c1dcd9825257,10183
39,25,Higienópolis-Mackenzie,-23.5488,-46.6519,11,90021,7,78,2,REABASTECER,13,2018-6-7,32,00c3e8e92530b0938cb537f0c526980a,1-7211c53cb70ef966817a8910c3cbac1a,7357
12,5,Higienópolis-Mackenzie,-23.5488,-46.6519,22,91465,21,86,20,NORMAL,17,2018-6-15,37,00c3e8e92530b0938cb537f0c5277084,1-68ce56967b3efb9ee6fb181ebfa9badb,7365
40,37,Higienópolis-Mackenzie,-23.5488,-46.6519,10,90571,24,3,25,NORMAL,29,2019-6-6,65,00c3e8e92530b0938cb537f0c528d721,1-275861bda381255da0e1baaee51208c7,7716
22,33,Higienópolis-Mackenzie,-23.5488,-46.6519,42,89975,55,6,38,REABASTECER,14,2019-1-7,25,00c3e8e92530b0938cb537f0c532c66a,1-7291dbcd4a332461dd1fe3fcd342f3ee,7567
37,30,Higienópolis-Mackenzie,-23.5488,-46.6519,3,91817,44,31,43,REABASTECER,39,2018-10-30,33,00c3e8e92530b0938cb537f0c536fef4,1-9053d356280698216222dc914ec88712,7500
33,17,Higienópolis-Mackenzie,-23.5488,-46.6519,14,91425,11,10,40,NORMAL,14,2019-1-16,31,00c3e8e92530b0938cb537f0c5404158,1-5bdcf3078a165311371de4b45cb3bce2,7576
32,15,Higienópolis-Mackenzie,-23.5488,-46.6519,7,91379,62,17,17,NORMAL,10,2019-3-8,11,00c3e8e92530b0938cb537f0c5458bb8,1-2beeb7da8ae01ca59ecab22a5afa26f3,7628
8,12,Higienópolis-Mackenzie,-23.5488,-46.6519,17,92578,65,69,23,NORMAL,26,2019-4-7,15,00c3e8e92530b0938cb537f0c54941ad,1-0cd16860570f63dc363e6105edf78e35,7657
37,33,Faria Lima,-23.5675,-46.6929,16,53400,54,61,37,NORMAL,15,2018-6-24,26,00c3e8e92530b0938cb537f0c5552a4b,1-5d063a728d28818fb51411b495ece998,8094
40,9,Faria Lima,-23.5675,-46.6929,16,52515,56,42,8,NORMAL,21,2018-9-26,47,00c3e8e92530b0938cb537f0c55fa237,1-7a721eca9c1bcbbead5fe39743c93c99,8186
32,14,Faria Lima,-23.5675,-46.6929,6,51847,47,86,43,REABASTECER,8,2018-11-23,43,00c3e8e92530b0938cb537f0c5657676,1-d321c912fff05cf7f98004f4b4923c03,8243
12,30,Faria Lima,-23.5675,-46.6929,29,52368,53,18,30,REABASTECER,1,2018-3-1,49,00c3e8e92530b0938cb537f0c56e5643,1-2ea40ae3623ceede5cfe87d7f60fe5cf,7981
28,18,Faria Lima,-23.5675,-46.6929,11,53233,20,41,9,REABASTECER,26,2018-3-7,5,00c3e8e92530b0938cb537f0c56f04eb,1-726f7a16069d324c05426b108026010c,7987
25,35,Faria Lima,-23.5675,-46.6929,17,52922,55,41,2,NORMAL,4,2019-2-19,17,00c3e8e92530b0938cb537f0c56fc3b0,1-258f8660f28d453b2940ca1afdf319aa,8329
26,40,Faria Lima,-23.5675,-46.6929,35,53406,32,32,35,NORMAL,11,2018-11-2,51,00c3e8e92530b0938cb537f0c57e1efd,1-37e6626fc14811944456bd9932a908f9,8222
43,43,Pinheiros,-23.5664,-46.703,43,77800,65,86,43,NORMAL,43,2018-1-1,65,00c3e8e92530b0938cb537f0c5937a2e,1-9dee75ad57c948ac2ac84355369cf3eb,8641
43,10,Faria Lima,-23.5675,-46.6929,25,52748,11,43,31,NORMAL,31,2019-1-22,20,00c3e8e92530b0938cb537f0c593c155,1-b9ecd2483157e9072466c16fdafdad2f,8302
35,29,Pinheiros,-23.5664,-46.703,12,76875,12,55,19,NORMAL,12,2018-3-4,22,00c3e8e92530b0938cb537f0c5995174,1-02a81382129d82944522af7a2da14a82,8704
32,39,Pinheiros,-23.5664,-46.703,30,79598,45,16,19,NORMAL,18,2018-12-3,26,00c3e8e92530b0938cb537f0c5b7569c,1-119ac3ff6710650679d5f36045299452,8973
30,27,Pinheiros,-23.5664,-46.703,23,77146,6,86,20,REABASTECER,24,2018-5-21,16,00c3e8e92530b0938cb537f0c5bd11a3,1-61b7c973865a9f05ab1f222ddb5f8986,8781
21,15,Pinheiros,-23.5664,-46.703,43,76646,0,6,22,NORMAL,32,2018-5-11,21,00c3e8e92530b0938cb537f0c5c722bd,1-a07305f5000d166c1eb7be6276d8b41c,8771
15,25,Pinheiros,-23.5664,-46.703,17,76819,36,38,41,NORMAL,12,2018-6-6,49,00c3e8e92530b0938cb537f0c5c97ca6,1-d7fdcfc9d5329da5510489544fdf7236,8796
22,37,Pinheiros,-23.5664,-46.703,14,78596,60,34,22,NORMAL,14,2019-8-8,33,00c3e8e92530b0938cb537f0c5d20bc9,1-08c917cd60c2b3f08675cce1cc8cd655,9218
43,41,Pinheiros,-23.5664,-46.703,43,77782,52,72,12,NORMAL,36,2018-9-9,29,00c3e8e92530b0938cb537f0c5d3ec6b,1-a5b7a7b43331440f880092de04499ae0,8889
30,30,Vila Mariana,-23.5895,-46.6346,38,21907,18,10,14,NORMAL,33,2018-3-12,32,00cb56982fa7db4d428e64a3384feef1,1-384840368fbad645604f257cfa2d2d1a,13752
43,16,Vila Mariana,-23.5895,-46.6346,7,21225,35,67,8,NORMAL,38,2018-10-25,29,00cb56982fa7db4d428e64a3385dcf27,1-e7657911d19d21f295519df17423978b,13975
27,43,Vila Mariana,-23.5895,-46.6346,15,22114,35,48,36,NORMAL,37,2019-6-11,22,00cb56982fa7db4d428e64a33861266a,1-20c457107e6303cfcb4d745c684e120a,14201
9,43,Vila Mariana,-23.5895,-46.6346,43,21812,5,39,2,REABASTECER,14,2019-9-20,59,00cb56982fa7db4d428e64a3386356de,1-44478679b30bdeef56e880b424b2532a,14300
29,42,Brooklin,-23.6263,-46.6878,27,27642,29,5,31,NORMAL,11,2019-1-6,24,00cb56982fa7db4d428e64a3388e5ec8,1-6158e9997302abd77173f5b957bfa22d,14766
38,14,Brooklin,-23.6263,-46.6878,10,29653,10,13,32,NORMAL,15,2019-10-7,65,00cb56982fa7db4d428e64a33894dba5,1-b5485a868c5a5d5d7abda2b2c7c44dcc,15037
41,5,Brooklin,-23.6263,-46.6878,9,28931,65,39,37,REABASTECER,11,2019-11-10,31,00cb56982fa7db4d428e64a338965fc8,1-3053a622df9bd2eb4c555192317ae9c7,15070
4,34,Campo Belo,-23.6188,-46.6823,33,24800,65,6,28,NORMAL,30,2018-3-1,9,00cb56982fa7db4d428e64a33897fe12,1-b159ca179bc388c6574249277610e234,15181
43,30,Campo Belo,-23.6188,-46.6823,32,24104,55,86,26,NORMAL,25,2018-3-2,65,00cb56982fa7db4d428e64a3389809ce,1-e54ce992d2c8fe5b12b44377089c0e5c,15182
33,43,Brás,-23.5451,-46.6162,43,73598,63,50,14,NORMAL,4,2019-1-22,49,00cc3f6a6000e38559d6dc8326fb0a55,1-eac1bfd3ae16b74bdd334090553625fa,4702
5,21,Trianon-Masp,-23.5634,-46.6544,28,43835,25,5,17,NORMAL,35,2018-7-6,18,00e3c082016cecdd5a7cdd2f67031410,1-c3a48cee3c102ce83bf6f53d8f26f235,1626
25,42,Trianon-Masp,-23.5634,-46.6544,23,45281,47,56,6,REABASTECER,41,2019-4-21,31,00e3c082016cecdd5a7cdd2f6729874f,1-e50d9d52f391135af406a9c7e6f49c8b,1911
16,17,Trianon-Masp,-23.5634,-46.6544,22,44089,65,50,13,NORMAL,14,2018-12-10,65,00e3c082016cecdd5a7cdd2f672988a8,1-6ad23ae99b8050eb0126a481419bf007,1780
43,19,Trianon-Masp,-23.5634,-46.6544,28,42113,11,63,26,NORMAL,13,2019-3-15,65,00e3c082016cecdd5a7cdd2f672f8f94,1-008b6d28acf32f196693da28e192220f,1875
4,14,Trianon-Masp,-23.5634,-46.6544,8,45127,11,32,15,REABASTECER,13,2019-8-3,18,00e3c082016cecdd5a7cdd2f6748a6ed,1-73c15a98e13799b9938c5a49586f6290,2013
43,22,Trianon-Masp,-23.5634,-46.6544,24,45276,8,61,43,REABASTECER,43,2019-8-26,51,00e3c082016cecdd5a7cdd2f674bebd2,1-33175e243b85245ab0f8d0873a8d008d,2036
24,12,Trianon-Masp,-23.5634,-46.6544,27,44003,8,8,36,REABASTECER,37,2019-9-19,35,00e3c082016cecdd5a7cdd2f6750fb7b,1-e48f0e5668a6d81322f657cf88d95a00,2059
31,23,Trianon-Masp,-23.5634,-46.6544,12,42209,22,67,29,NORMAL,40,2019-10-9,12,00e3c082016cecdd5a7cdd2f675161a0,1-2169de3c86a64a708a39d8cb752abaa0,2079
10,37,Trianon-Masp,-23.5634,-46.6544,34,45415,46,76,37,NORMAL,28,2019-11-6,30,00e3c082016cecdd5a7cdd2f675334d1,1-d1cede26401094d6da7881e3e4b3e54d,2106
20,41,Consolação,-23.5581,-46.6606,25,114955,59,36,22,NORMAL,36,2018-7-17,56,00e3c082016cecdd5a7cdd2f675b3032,1-c0d956151c92a1311aa03c8d61377ee2,2357
39,3,Consolação,-23.5581,-46.6606,14,115378,35,13,7,NORMAL,31,2018-3-10,52,00e3c082016cecdd5a7cdd2f675d0908,1-39ef7cf89fc8e241d66770f730dde8ec,2230
9,15,Consolação,-23.5581,-46.6606,23,113952,41,8,15,NORMAL,35,2018-3-19,57,00e3c082016cecdd5a7cdd2f675d36e5,1-938fd23ccae5b8cb925f041207711c15,2239
29,29,Consolação,-23.5581,-46.6606,43,113161,34,27,27,NORMAL,40,2018-12-28,30,00e3c082016cecdd5a7cdd2f6774ee65,1-b738c004a5f2290cab84420955bf252f,2518
16,7,Consolação,-23.5581,-46.6606,22,111672,48,43,5,NORMAL,30,2019-6-24,36,00e3c082016cecdd5a7cdd2f67795b15,1-2ba0e61d5dad0dde04aefb2de09c312d,2694
37,3,Consolação,-23.5581,-46.6606,17,113708,43,73,35,NORMAL,21,2019-7-8,1,00e3c082016cecdd5a7cdd2f67797fe0,1-39879ffce6fce11cea57eddbb69d546d,2708
27,11,Consolação,-23.5581,-46.6606,19,112721,55,30,16,NORMAL,43,2019-5-30,65,00e3c082016cecdd5a7cdd2f679722b1,1-453fe6d9b9b574f15105eb50ac6a24f0,2670
41,41,Tamanduateí,-23.59290,-46.5897,8,52253,52,37,22,NORMAL,23,2018-3-10,55,00e3c082016cecdd5a7cdd2f679eb45d,1-a9f93837cf5b3636641064c2e2a5aa9f,2950
24,38,Consolação,-23.5581,-46.6606,24,114945,55,18,21,NORMAL,39,2019-10-13,7,00e3c082016cecdd5a7cdd2f679ed1a9,1-b4226bd1abdabe04513e59070dc2a472,2803
15,16,Consolação,-23.5581,-46.6606,24,112424,37,45,5,REABASTECER,37,2019-12-10,17,00e3c082016cecdd5a7cdd2f67a76ec7,1-2c30cb422afed611cf291444003d1b39,2860
14,18,Tamanduateí,-23.59290,-46.5897,24,50009,33,25,23,NORMAL,20,2018-1-7,28,00e3c082016cecdd5a7cdd2f67b3fe70,1-2b96c4aa58aadffa3f67329788c9d29e,2887
27,22,Tamanduateí,-23.59290,-46.5897,40,49666,19,40,16,NORMAL,16,2018-6-29,29,00e3c082016cecdd5a7cdd2f67c20bda,1-c21f8643214ed840c2b800d09781bda6,3059
38,32,Tamanduateí,-23.59290,-46.5897,24,49930,38,64,30,NORMAL,33,2018-7-5,61,00e3c082016cecdd5a7cdd2f67c23898,1-8bfcd63dab69e440b116b393b21eaec2,3065
5,37,Tamanduateí,-23.59290,-46.5897,32,50082,65,36,14,NORMAL,39,2018-8-2,55,00e3c082016cecdd5a7cdd2f67c28d77,1-912af9330e4fd7733ad1255c64731f6c,3092
22,38,Tamanduateí,-23.59290,-46.5897,5,51310,14,38,23,REABASTECER,20,2018-10-20,18,00e3c082016cecdd5a7cdd2f67d09624,1-48e896df4c4058be103981303fef6345,3170
16,32,Tamanduateí,-23.59290,-46.5897,24,53229,10,29,12,REABASTECER,6,2018-12-6,13,00e3c082016cecdd5a7cdd2f67da9697,1-2046a1c496ca08f765ef7f08683923ba,3216
16,14,Tamanduateí,-23.59290,-46.5897,37,51968,59,38,18,NORMAL,17,2019-1-28,24,00e3c082016cecdd5a7cdd2f67df9a1c,1-18717d76bb7ee9623806251500276848,3268
26,20,Tamanduateí,-23.59290,-46.5897,23,52720,45,7,38,NORMAL,26,2019-5-13,16,00e3c082016cecdd5a7cdd2f67e78631,1-c197a1ccce66dc29711ddebe7e38a460,3373
39,12,Tamanduateí,-23.59290,-46.5897,4,51997,56,8,25,REABASTECER,6,2019-11-28,15,00e3c082016cecdd5a7cdd2f67e9138c,1-55a0986d3d8f26a3ed7d9708e0896de0,3568
9,42,Tamanduateí,-23.59290,-46.5897,41,50677,36,29,38,NORMAL,27,2019-8-1,44,00e3c082016cecdd5a7cdd2f67f159f9,1-9f9df493af03f596c777d7028de4438d,3451
23,26,Sé,-23.55,-46.6333,31,192770,48,77,16,NORMAL,25,2018-6-21,38,00e3c082016cecdd5a7cdd2f67fedc78,1-5c526737e517bcf0108d32edca6a7bd4,3771
